ticker,quarter_ended,total_income,net_profit_loss,earnings_per_share
HEROMOTOCO,31-Mar-25,"10,16,235.00","1,08,094.00",54.06
DABUR,31-Mar-25,"2,08,326.00","25,054.00",1.41
ICICIPRULI,31-Mar-25,"15,63,751.00","38,527.00",2.65
BOSCHLTD,31-Dec-24,"4,65,480.00","45,820.00",155.37
POLYCAB,31-Mar-25,"6,89,816.50","73,068.80",48.58
INDUSTOWER,31-Mar-25,"7,81,880.00","1,77,910.00",6.75
CUMMINSIND,31-Dec-24,"3,20,690.00","51,400.00",18.54
NAUKRI,31-Dec-24,"74,962.70","20,019.30",15.47
INDHOTEL,31-Mar-25,"2,48,678.00","56,266.00",3.67
APOLLOHOSP,31-Dec-24,"2,16,270.00","34,160.00",23.76
MANKIND,31-Dec-24,"2,46,639.00","41,638.00",10.35
OFSS,31-Mar-25,"1,79,820.00","64,390.00",74.15
INDUSINDBK,31-Dec-24,"15,15,101.00","1,40,128.00",17.99
ICICIGI,31-Mar-25,"5,85,117.00","50,959.00",10.29
JINDALSTEL,31-Mar-25,"13,25,494.00","-30,359.00",-3.35
SOLARINDS,31-Dec-24,"1,21,904.00","20,442.00",22.59
CANBK,31-Mar-25,"40,25,619.00","5,09,745.00",5.59
LUPIN,31-Mar-25,"5,72,408.00","78,238.00",16.93
MAXHEALTH,31-Dec-24,"78,941.00","13,824.00",1.42
SUZLON,31-Dec-24,"2,33,231.00","20,061.00",0.15
BHEL,31-Mar-25,"9,15,216.00","50,405.00",1.45
UNIONBANK,31-Mar-25,"33,25,431.00","4,98,492.00",6.53
SHREECEM,31-Mar-25,"5,39,027.00","55,598.00",154.09
IDBI,31-Mar-25,"9,03,529.00","2,05,118.00",1.91
NHPC,31-Dec-24,"2,42,552.00","27,360.00",0.27
HDFCAMC,31-Mar-25,"1,02,500.00","63,873.00",29.88
MAZDOCK,31-Dec-24,"3,43,006.00","76,822.00",19.04
OIL,31-Dec-24,"5,42,829.00","1,22,180.00",7.51
COLPAL,31-Dec-24,"1,48,224.00","32,278.00",11.87
ATGL,31-Mar-25,"1,45,659.00","14,938.00",1.36
DIXON,31-Dec-24,"1,03,640.00",250,0.42
MARICO,31-Mar-25,"2,77,700.00","34,500.00",2.65
PERSISTENT,31-Mar-25,"3,20,355.10","28,764.00",18.46
HINDPETRO,31-Mar-25,"1,19,12,613.00","3,35,498.00",15.77
WAAREEENER,31-Mar-25,"3,48,249.00","58,052.00",20.23
GODREJPROP,31-Mar-25,"1,35,710.00","27,854.00",9.25
TORNTPOWER,31-Mar-25,"4,87,126.00","1,08,980.00",21.63
GMRAIRPORT,31-Dec-24,"27,111.00","-4,943.00",-0.05
AUROPHARMA,31-Dec-24,"2,97,089.00","47,205.00",8.13
IDEA,31-Dec-24,"11,26,450.00","-6,49,260.00",-0.93
POLICYBZR,31-Mar-25,"11,007.00","-1,579.00",-0.34
TIINDIA,31-Mar-25,"5,30,821.00","15,819.00",2.41
MUTHOOTFIN,31-Mar-25,"5,65,293.60","1,44,393.10",36.81
INDIANB,31-Mar-25,"18,79,436.00","2,96,139.00",22.14
PRESTIGE,31-Dec-24,"82,410.00","13,170.00",3.06
IRCTC,31-Dec-24,"1,28,100.16","34,121.43",4.27
SRF,31-Mar-25,"4,34,783.00","52,606.00",17.75
YESBANK,31-Mar-25,"9,35,539.00","73,812.00",0.24
GICRE,31-Dec-24,"10,47,932.00","1,62,137.00",9.24
BHARATFORG,31-Mar-25,"2,21,110.50","34,562.50",7.23
OBEROIRLTY,31-Mar-25,"1,21,333.00","43,317.00",11.91
SBICARD,31-Mar-25,"4,83,174.00","53,418.00",5.62
ASHOKLEY,31-Dec-24,"9,50,338.00","76,174.00",2.59
ALKEM,31-Dec-24,"2,45,601.00","72,312.00",56.56
JSWINFRA,31-Mar-25,"1,37,190.00","51,558.00",2.46
KALYANKJIL,31-Mar-25,"5,39,275.20","18,537.00",1.8
NMDC,31-Dec-24,"6,90,528.00","1,94,351.00",2.21
BHARTIHEXA,31-Mar-25,"2,33,680.00","46,840.00",9.37
PIIND,31-Mar-25,"1,71,640.00","38,580.00",25.43
SUPREMEIND,31-Mar-25,"3,03,952.00","26,163.00",20.6
LINDEINDIA,31-Dec-24,"62,517.40","11,398.80",13.37
PATANJALI,31-Mar-25,"9,74,473.58","35,851.90",9.91
BERGEPAINT,31-Mar-25,"2,36,690.00","23,692.00",2.03
FACT,31-Dec-24,"1,00,643.00",800,0.12
PHOENIXLTD,31-Mar-25,"1,06,148.15","34,770.06",7.52
IREDA,31-Mar-25,"1,91,564.00","50,155.00",1.87
JSL,31-Mar-25,"10,29,227.00","58,996.00",7.18
UNOMINDA,31-Dec-24,"3,15,826.00","15,726.00",2.74
SCHAEFFLER,31-Mar-25,"2,14,512.00","26,541.00",17
UCOBANK,31-Mar-25,"8,13,679.00","65,243.00",0.54
THERMAX,31-Mar-25,"3,16,178.00","20,555.00",18.27
BALKRISIND,31-Dec-24,"2,72,726.00","43,939.00",22.73
VOLTAS,31-Mar-25,"3,72,357.00","22,050.00",6.66
MRF,31-Mar-25,"7,05,530.00","49,785.00","1,173.86"
MPHASIS,31-Mar-25,"2,29,240.60","36,921.50",19.44
CONCOR,31-Dec-24,"2,30,139.00","34,344.00",5.64
ABCAPITAL,31-Mar-25,"3,87,892.00","65,362.00",2.51
LTTS,31-Mar-25,"3,03,170.00","31,020.00",29.38
POWERINDIA,31-Mar-25,"1,92,185.00","18,389.00",43.15
SAIL,31-Dec-24,"24,85,394.00","12,580.00",0.3
TATACOMM,31-Mar-25,"6,05,915.00","1,04,051.00",26.7
NYKAA,31-Dec-24,"16,015.00","2,446.00",0.09
UBL,31-Mar-25,"4,43,516.00","9,776.00",3.69
PGHH,31-Dec-24,"1,25,734.00","26,859.00",82.74
ASTRAL,31-Dec-24,"1,27,900.00","12,590.00",4.69
IDFCFIRSTB,31-Mar-25,"11,30,842.00","29,560.00",0.4
PETRONET,31-Dec-24,"12,42,296.00","86,699.00",5.78
BANKINDIA,31-Mar-25,"21,93,355.00","2,64,762.00",5.72
HUDCO,31-Mar-25,"2,85,491.00","72,774.00",3.64
PREMIERENE,31-Mar-25,"19,183.80",-,1.39
